cell_name	Symbol
Astrocyte	Sox9
Oligodendrocyte precursor cell	Ptpre
Microglial cell	Cd68
Neuron	Map1a
Endothelial cell	Klf2
Microglial cell	Olfml3
Oligodendrocyte precursor cell	Tnr
Endothelial cell	Ptprb
Endothelial cell	Sgms1
Microglial cell	Fcer1g
Microglial cell	Fcrls
Neuron	Hap1
Neuron	Stmn2
Oligodendrocyte	Ccp110
Mural cell	Higd1b
Microglial cell	Mafb
Mural cell	Rgs4
Neuron	Gng13
Astrocyte	Dclk1
Endothelial cell	Paqr5
Oligodendrocyte	Cldn11
Endothelial cell	Hspb1
Oligodendrocyte	Aspa
Oligodendrocyte precursor cell	Pdgfra
Microglial cell	Ly86
Astrocyte	Slc7a10
Oligodendrocyte	Ndrg1
Astrocyte	Gja1
Astrocyte	Plcd4
Endothelial cell	Tm4sf1
Mural cell	Myo1b
Neuron	Rnf227
Oligodendrocyte	Cntn2
Microglial cell	C1qc
Astrocyte	Mfge8
Oligodendrocyte	Mog
Mural cell	Rgs5
Oligodendrocyte	Tmem88b
Microglial cell	P2ry13
Microglial cell	Siglech
Neuron	Nrsn1
Astrocyte	Slc4a4
Microglial cell	Slco2b1
Neuron	Hpcal4
Microglial cell	C1qb
Astrocyte	Acsl6
Astrocyte	Pnisr
Oligodendrocyte precursor cell	Qpct
Oligodendrocyte	Ppp1r14a
Microglial cell	Csf1r
Mural cell	Igfbp7
Oligodendrocyte precursor cell	Enpp2
Mural cell	Colec12
Mural cell	Ndufa4l2
Oligodendrocyte	Tnfaip6
Mural cell	Cald1
Astrocyte	Gjb6
Oligodendrocyte	Galnt6
Endothelial cell	Podxl
Oligodendrocyte precursor cell	Lrrn1
Endothelial cell	Abcg2
Oligodendrocyte	Tspan2
Mural cell	Serping1
Mural cell	S1pr3
Microglial cell	Laptm5
Neuron	Cnih2
Oligodendrocyte	Tubb4a
Neuron	Snrpn
Microglial cell	Trem2
Oligodendrocyte precursor cell	Sema3d
Microglial cell	Ccr5
Mural cell	Pdgfrb
Microglial cell	Ltc4s
Neuron	Arf3
Astrocyte	S1pr1
Oligodendrocyte	S1pr5
Neuron	Rph3a
Mural cell	Hspb1
Oligodendrocyte precursor cell	Gria4
Oligodendrocyte	Gjc3
Microglial cell	Ncf1
Astrocyte	Slc6a1
Oligodendrocyte	Pls1
Endothelial cell	Egfl7
Oligodendrocyte	Josd2
Oligodendrocyte	Pllp
Astrocyte	Hacd2
Mural cell	Myh11
Mural cell	Slc19a1
Neuron	Sez6
Mural cell	Carmn
Neuron	Snap25
Endothelial cell	Slc9a3r2
Endothelial cell	Pltp
Oligodendrocyte	Trf
Mural cell	Cp
Oligodendrocyte	Tmem125
Mural cell	Ifitm1
Astrocyte	Slc7a11
Astrocyte	Fgfr3
Microglial cell	Tmem119
Astrocyte	Ddhd1
Neuron	Camk2a
Oligodendrocyte	Ermn
Oligodendrocyte precursor cell	Cacng4
Mural cell	Tm4sf1
Mural cell	Lmod1
Endothelial cell	Esam
Mural cell	Kcnj8
Oligodendrocyte	Mag
Microglial cell	Irf8
Mural cell	Crip1
Oligodendrocyte precursor cell	Cspg4
Oligodendrocyte	Efnb3
Neuron	Bex2
Endothelial cell	Cavin2
Neuron	Nrgn
Neuron	Ctxn1
Oligodendrocyte	Gjc2
Microglial cell	Il6ra
Astrocyte	Slc39a12
Astrocyte	Fzd2
Neuron	Unc13c
Oligodendrocyte precursor cell	Slc35f1
Microglial cell	C1qa
Oligodendrocyte precursor cell	Gria3
Oligodendrocyte precursor cell	C1ql1
Oligodendrocyte precursor cell	Olig1
Oligodendrocyte precursor cell	Phlda1
Oligodendrocyte precursor cell	Pllp
Astrocyte	Id4
Oligodendrocyte precursor cell	Epn2
Neuron	Atp1a3
Astrocyte	Gpld1
Astrocyte	Bcan
Endothelial cell	Foxq1
Oligodendrocyte precursor cell	Traf4
Endothelial cell	Kitl
Astrocyte	Acsl3
Mural cell	Filip1l
Oligodendrocyte	Ugt8a
Microglial cell	Arhgap45
Neuron	Celf4
Microglial cell	Mpeg1
Microglial cell	Abi3
Oligodendrocyte	Opalin
Endothelial cell	Ctla2a
Oligodendrocyte precursor cell	Matn4
Oligodendrocyte precursor cell	Snx22
Oligodendrocyte	Enpp2
Neuron	Selenow
Microglial cell	Lair1
Mural cell	Igf2
Oligodendrocyte	Pex5l
Mural cell	Ifitm3
Endothelial cell	Ifitm3
Astrocyte	Slc27a1
Mural cell	Map3k7cl
Endothelial cell	Clic5
Neuron	6330403K07Rik
Astrocyte	Nkain4
Oligodendrocyte	Gsn
Oligodendrocyte precursor cell	Plpp4
Endothelial cell	Ly6c1
Mural cell	Gja4
Mural cell	Gjc1
Oligodendrocyte precursor cell	Brinp1
Oligodendrocyte precursor cell	Tmem255b
Endothelial cell	Cdh5
Oligodendrocyte	Smco3
Microglial cell	Unc93b1
Oligodendrocyte precursor cell	Neu4
Oligodendrocyte	Trim59
Neuron	Chd3
Astrocyte	Gpr37l1
Mural cell	Slc6a20a
Neuron	Pcsk1n
Endothelial cell	Adgrl4
Microglial cell	Tyrobp
Microglial cell	Tgfbr1
Neuron	Agap2
Endothelial cell	Sox17
Mural cell	Tagln
Endothelial cell	Igfbp7
Astrocyte	Slc6a11
Astrocyte	Vegfa
Oligodendrocyte precursor cell	Vxn
Microglial cell	Cd53
Microglial cell	Cd14
Astrocyte	Ednrb
Endothelial cell	Ly6c2
Mural cell	Pln
Mural cell	Ifitm2
Mural cell	P2ry14
Microglial cell	Cyth4
Oligodendrocyte precursor cell	Slc1a1
Neuron	Gap43
Oligodendrocyte precursor cell	Olig2
Oligodendrocyte	Tmem151a
Endothelial cell	Acvrl1
Oligodendrocyte	Mal
Neuron	Rtn1
Astrocyte	Msmo1
Oligodendrocyte precursor cell	Tpm1
Neuron	Map2
Neuron	Scg2
Microglial cell	Hpgd
Oligodendrocyte precursor cell	Rlbp1
Oligodendrocyte	Ttll7
Microglial cell	Selplg
Neuron	Ahi1
Oligodendrocyte precursor cell	A930009A15Rik
Astrocyte	Tril
Mural cell	Gm13861
Endothelial cell	Abcb1a
Endothelial cell	Itm2a
Endothelial cell	Cxcl12
Neuron	Rasgef1a
Microglial cell	Rnase4
Oligodendrocyte precursor cell	Emid1
Astrocyte	Sdc4
Endothelial cell	Slco1a4
Oligodendrocyte precursor cell	Megf11
Mural cell	Zic1
Mural cell	Acta2
Microglial cell	Hpgds
Mural cell	Mgp
Endothelial cell	Nostrin
Microglial cell	Ptgs1
Endothelial cell	Pcp4l1
Mural cell	Myl9
Astrocyte	Atp13a4
Oligodendrocyte precursor cell	Susd5
Microglial cell	Gpr34
Oligodendrocyte	Hapln2
Neuron	Nefl
Microglial cell	Lpcat2
Endothelial cell	Palmd
Astrocyte	Pla2g7
Endothelial cell	Srgn
Astrocyte	Fjx1
Microglial cell	Hexb
Astrocyte	Entpd2
Endothelial cell	Pglyrp1
Oligodendrocyte precursor cell	Gpr17
Astrocyte	Eva1a
Mural cell	Perp
Oligodendrocyte	Gpr37
Microglial cell	Inpp5d
Oligodendrocyte precursor cell	Nxph1
Oligodendrocyte	Gjb1
Microglial cell	Ctss
Mural cell	Aspn
Neuron	Camk2b
Oligodendrocyte precursor cell	Nav1
Oligodendrocyte precursor cell	Myt1
Microglial cell	Pld4
Neuron	Rab3c
Mural cell	Slc38a11
Microglial cell	P2ry12
Microglial cell	Fcgr3
Astrocyte	Gria2
Mural cell	Pcolce
Astrocyte	Tlcd1
Oligodendrocyte	Pdlim2
Oligodendrocyte precursor cell	Cntn1
Endothelial cell	Wfdc1
Oligodendrocyte	Fa2h
Endothelial cell	Adgrf5
Mural cell	Rbpms
Neuron	Camk2n1
Oligodendrocyte precursor cell	Tspan6
Neuron	Ncdn
Neuron	Myt1l
Oligodendrocyte	Ptgds
Astrocyte	Aqp4
Neuron	Cplx2
Mural cell	Ecm2
Endothelial cell	Sema3c
Oligodendrocyte precursor cell	Pcdh15
Astrocyte	Lfng
Oligodendrocyte precursor cell	Sulf2
Endothelial cell	Car4
Endothelial cell	Cldn5
Mural cell	Bgn
Oligodendrocyte precursor cell	Mmp16
Oligodendrocyte precursor cell	Tmem132d
Smooth muscle cell	Arhgap42
Olfactory ensheathing glia	Phldb2
Endothelial cell	Rasgrp3
Cajal-Retzius cell	Kcnb2
Bergmann glial cell	Stk32a
Macrophage	Ehd4
Cajal-Retzius cell	Aatf
Smooth muscle cell	Pde5a
Bergmann glial cell	Prex1
Microglial cell	Runx1
Microglial cell	Rasgrp3
Oligodendrocyte precursor cell	Kif13a
Olfactory ensheathing glia	Igf1
Oligodendrocyte precursor cell	Fchsd2
Cajal-Retzius cell	Ebf3
Olfactory ensheathing glia	0610040J01Rik
Endothelial cell	Mfsd2a
Ependymal cell	Ttll8
Smooth muscle cell	Pde8b
Cajal-Retzius cell	Tmem200a
Bergmann glial cell	Pax3
Smooth muscle cell	Myh9
Ependymal cell	Cfap44
Cajal-Retzius cell	Cobll1
Olfactory ensheathing glia	Zbtb7c
Smooth muscle cell	Abcc9
Microglial cell	Arsb
Oligodendrocyte precursor cell	Gm4876
Endothelial cell	Slco1c1
Ependymal cell	Dnai3
Cajal-Retzius cell	Cep112
Cajal-Retzius cell	Ndnf
Ependymal cell	Enkur
Oligodendrocyte precursor cell	Usp24
Smooth muscle cell	Col4a1
Bergmann glial cell	Gpm6b
Macrophage	P2rx7
Smooth muscle cell	Lama2
Endothelial cell	Lmntd1
Bergmann glial cell	Lrig1
Oligodendrocyte precursor cell	Pde7b
Olfactory ensheathing glia	Spata13
Oligodendrocyte precursor cell	Wipf1
Endothelial cell	Ccdc141
Ependymal cell	3300002A11Rik
Macrophage	Lgmn
Bergmann glial cell	Shroom3
Ependymal cell	Ccdc170
Macrophage	Stard8
Macrophage	Sirpa
Macrophage	Cfh
Olfactory ensheathing glia	Sash1
